Title,Timestamp,Poster,Date
"EigenLayer TVL hits $12.9B, climbs 11% in one week: ITB",2024-08-15 18:31:08.633577,Josh O'Sullivan,2024-08-15
Agribusiness adopts ESG practices to meet growing global market demands,2024-08-15 18:01:08.633577,Nihatcan Yanik,2024-08-15
Multiple arrests made in $14.4M Holograph hack investigation,2024-08-15 17:53:08.633577,Amaka Nwaokocha,2024-08-15
Malaysian kidnappers abducted Chinese man for $1M USDT: Report,2024-08-15 17:41:08.633577,Arijit Sarkar,2024-08-15
Bitcoin sell pressure may break $56K support as options expiry looms,2024-08-15 17:34:08.633577,Zoltan Vardai,2024-08-15
US gov’t Bitcoin sale ‘doesn’t affect anything’ as analyst blames bears,2024-08-15 16:34:08.633577,William Suberg,2024-08-15
Nigerian crypto wallets tied to protests evade government freeze efforts,2024-08-15 15:34:08.633577,Amaka Nwaokocha,2024-08-15
Binance returns to India as registered crypto exchange following 7-month ban,2024-08-15 15:34:08.633577,Arijit Sarkar,2024-08-15
Memecoin ‘mastermind’ Sahil likely made $3M from ‘Celeb meta’ — ZachXBT,2024-08-15 15:34:08.633577,Tom Mitchelhill,2024-08-15
California AI bill aimed at preventing disasters draws ire from Silicon Valley,2024-08-15 14:34:08.633577,Martin Young,2024-08-15
Tokenized US Treasurys expected to surpass $3B by end of 2024,2024-08-15 14:34:08.633577,Toghrul A,2024-08-15
"Boomer says ETH fundamentals at all-time high, price is ‘lagging’",2024-08-15 14:34:08.633577,Ciaran Lyons,2024-08-15
Iran is giving $24 to anyone who reports illegal crypto miners,2024-08-15 14:34:08.633577,Jesse Coghlan,2024-08-15
Two-thirds of institutional Bitcoin ETF holders held or bought more in Q2,2024-08-15 13:34:08.633577,Martin Young,2024-08-15
Crypto influencers on notice after FTC bans fake likes and followers,2024-08-15 12:34:08.633577,Jesse Coghlan,2024-08-15
Fed rate cuts are not a sure thing — What does this mean for Bitcoin?,2024-08-15 12:34:08.633577,Ciaran Lyons,2024-08-15
USDC to embrace tap-and-go payments after Apple opens up NFC,2024-08-15 12:34:08.633577,Tom Mitchelhill,2024-08-15
DeFi rises again as Aave hits new ATH in weekly borrowers,2024-08-15 11:34:08.633577,Martin Young,2024-08-15
Australian regulator claims 58% of crypto ads on Facebook are scams,2024-08-15 10:34:08.633577,Stephen Katte,2024-08-15
"Marathon Digital buys $249M Bitcoin, reserves reach 25K BTC",2024-08-15 09:34:08.633577,Jesse Coghlan,2024-08-15
Senator Chuck Schumer pledges pro-crypto laws if Harris is president,2024-08-15 09:34:08.633577,Tom Mitchelhill,2024-08-15
Ethereum gas fees: Too low or too high? No one can decide,2024-08-15 08:34:08.633577,Omid Malekan,2024-08-15
"Price analysis 8/14: BTC, ETH, BNB, SOL, XRP, DOGE, TON, ADA, AVAX, SHIB",2024-08-15 07:34:08.633577,Rakesh Upadhyay,2024-08-14
Users say ZKasino still hasn’t returned ETH months after claims opened,2024-08-15 07:34:08.633577,Christopher Roark,2024-08-14
Toncoin (TON) gains 10% after Binance Launchpool platform addition,2024-08-15 06:34:08.633577,Nancy Lubale,2024-08-14
Morgan Stanley discloses $188M in BlackRock Bitcoin ETF holdings,2024-08-15 06:34:08.633577,Turner Wright,2024-08-14
The future of Web 3.0 gaming — Blockchain Futurist Conference,2024-08-15 05:34:08.633577,Vince Quill,2024-08-14
Here’s what happened in crypto today,2024-08-15 05:34:08.633577,Cointelegraph,2024-08-14
"New Vanguard CEO: ""We will not be launching crypto ETFs.""",2024-08-15 04:34:08.633577,Alex O’Donnell,2024-08-14
Binance reaches $1.7M agreement with Brazilian securities regulator,2024-08-15 04:34:08.633577,Turner Wright,2024-08-14
Exchanges gear up crypto advocacy in Canada as elections loom,2024-08-15 03:34:08.633577,Ana Paula Pereira,2024-08-14
"NYSE Arca withdraws request to list options on commodity trusts, crypto ETFs",2024-08-15 03:34:08.633577,Alex O’Donnell,2024-08-14
Exclusive: Fireblocks granted New York charter for crypto custody,2024-08-15 03:34:08.633577,Alex O’Donnell,2024-08-14
